series,origin,run_id,alert_id,notification_id,record_index,attempt,outcome,mode,latency_mode,talert_notification_ms,witness_multiplicity,payload_bytes,first_delivery,eligible_primary
primary,dbe,control_b1_barehead_a_p2_c03_20260804T173756Z,04c27f04-7aa6-5c96-8b91-775860db4158,cd19969550a4bc20,2,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p2_c04_20260804T174110Z,a09ba48d-3be6-5b95-90dd-02f0d1c26294,ab4eadc39fc31d33,0,1,delivered,live,live,60.268310546875,1,1031,True,True
primary,dbe,control_b1_barehead_a_p2_c05_20260804T174410Z,476182b4-3cfb-5825-9053-57fdce3d0814,22d8ae74746126af,0,1,delivered,live,live,43.44091796875,1,1029,True,True
primary,dbe,control_b1_barehead_a_p3_c01_20260804T174535Z,786b8e3e-12ed-5cd7-8e2a-daa83387f284,3a731e74eeb15d47,0,1,delivered,live,live,46.65234375,1,1028,True,True
primary,dbe,control_b1_barehead_a_p3_c02_20260804T174701Z,e82a7633-3330-5ed0-a4b6-680dc475f7eb,6b71b59296c03258,0,1,delivered,live,live,30.751953125,1,1029,True,True
primary,dbe,control_b1_barehead_a_p4_c01_20260804T174919Z,cd37f1c8-670c-5bbc-92ae-d8e50e73b1d1,2340d3d02cd8e9d2,0,1,delivered,live,live,43.376708984375,1,1028,True,True
primary,dbe,control_b1_barehead_a_p4_c02_20260804T175144Z,891006d6-d19b-5819-a176-9233c8e887e7,5691f1a8dc89d40c,0,1,delivered,live,live,36.11474609375,1,1027,True,True
primary,dbe,control_b1_barehead_a_p5_c02_20260804T175846Z,21ece930-c5fc-55ff-9bbc-858c1db39ad8,7cead527029dd029,0,1,delivered,live,live,38.32421875,1,1031,True,True
primary,dbe,control_b1_barehead_a_p6_c01_20260804T180204Z,9559d99d-6d9a-5ccb-947a-052a4d6369b3,60c13d2afdb10bc3,0,1,delivered,live,live,43.00732421875,1,1027,True,True
primary,dbe,control_b1_barehead_a_p6_c02_20260804T180622Z,4e8dad62-3303-5812-b008-e9b68f6669a2,e8bd7d850f02b5ed,0,1,delivered,live,live,36.182373046875,1,1030,True,True
primary,dbe,control_b1_barehead_a_p7_c01_20260804T180910Z,b37a1d34-2697-5754-9dfa-50d33de600f4,d604fd895a2bc892,0,1,delivered,live,live,43.05078125,1,1029,True,True
primary,dbe,control_b1_barehead_a_p7_c02_20260804T181145Z,e0e8765d-7b64-572d-9488-7c8880a04654,b51c5bf975a9b547,0,1,delivered,live,live,34.038330078125,1,1030,True,True
primary,dbe,control_b1_barehead_a_p7_c03_20260804T181417Z,676987ee-2291-5e61-a760-852fac3ddef8,04cc0a32f47df0e7,0,1,delivered,live,live,48.472900390625,1,1028,True,True
primary,dbe,control_b1_barehead_a_p7_c04_20260804T181649Z,76a2f69b-a338-5001-acd3-0aba1e085f09,e17901e6c88488c7,0,1,delivered,live,live,35.61767578125,1,1028,True,True
primary,dbe,control_b1_barehead_a_p8_c01_20260804T182024Z,82f2197f-9cc4-5602-9a01-9a3d5ac942e5,6090e6e6035aee50,0,1,delivered,live,live,43.82666015625,1,1030,True,True
primary,dbe,control_b1_barehead_a_p8_c01_20260804T182024Z,9532668c-5a23-5cdd-8de2-505e0b0ac865,7b569cf3f44ecef6,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p9_c01_20260804T182226Z,33c33164-ae8b-5119-878f-381e2d849da7,b867ede1b417fed8,0,1,delivered,live,live,32.455810546875,1,1030,True,True
primary,dbe,control_b1_barehead_a_p9_c02_20260804T182423Z,985fc336-3b7e-5ee5-9024-7445a3f88590,9730c62b83c501e9,0,1,delivered,live,live,40.439453125,1,1027,True,True
primary,dbe,control_b1_barehead_a_p9_c03_20260804T182613Z,38708d02-8aa9-529e-b248-67cec48f54b9,b534b6566ba34e3f,0,1,delivered,live,live,30.65966796875,1,1029,True,True
primary,dbe,control_b1_barehead_a_p9_c06_20260804T182806Z,3a0356b2-ff34-5d53-9302-0d1318e875a2,d7bcb221eecc50ae,0,1,delivered,live,live,42.228515625,1,1030,True,True
primary,dbe,control_b1_barehead_a_p9_c08_20260804T182951Z,56812127-1f1a-5c51-bd99-e083f63c821d,2c07d348a487169e,0,1,delivered,live,live,31.455078125,1,1030,True,True
primary,dbe,control_bench_rodaje_a_p1_c02_20260804T020403Z,0254a2ec-0496-52a6-930a-753cd237b49c,260b36f74088323f,0,1,delivered,live,live,43.198974609375,1,1040,True,True
primary,dbe,control_bench_rodaje_a_p1_c03_20260804T020550Z,931fe225-f145-5205-a3c6-8210a42d3428,b41f3773ebe32048,0,1,delivered,live,live,29.146484375,1,1037,True,True
primary,dbe,control_bench_rodaje_a_p1_c04_20260804T020814Z,e9f246aa-e150-5c4f-82fd-cf613ba40967,655990059dc4bc0a,0,1,delivered,live,live,42.962158203125,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p1_c05_20260804T020955Z,8143c34e-6bd2-5416-ac8a-a9a7e864392a,025818fc8d0d67c7,0,1,delivered,live,live,35.3603515625,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p1_c06_20260804T021200Z,918ac97a-786a-5060-bdff-e22fab4e9e0d,d527efda4c526db6,0,1,delivered,live,live,41.73291015625,1,1040,True,True
primary,dbe,control_bench_rodaje_a_p1_c07_20260804T021355Z,bec6f9d8-0a92-5fcc-a4ac-567a03be2a4b,ed8547145a945acf,0,1,delivered,live,live,31.164794921875,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p1_c08_20260804T021626Z,9429684c-6c1c-58a7-b61e-d9178d7af79f,d54e9c47c0dab082,0,1,delivered,live,live,40.92724609375,1,1033,True,True
primary,dbe,control_bench_rodaje_a_p1_c08_20260804T021626Z,566b40d2-a27e-55b8-bf68-59579d74127e,7e22605679739637,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_bench_rodaje_a_p1_c09_20260804T021850Z,61152558-221d-5a5f-85a0-caa564e4aa2b,6bc80d6c687c3b87,0,1,delivered,live,live,31.608642578125,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p1_c10_20260804T022233Z,d3f167aa-54ef-570d-bd29-f27c9c374670,f84309aa3aa57954,0,1,delivered,live,live,43.45849609375,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p1_c10_20260804T022233Z,bac6a304-836e-554f-969a-6514cf7d34a8,85604a8965cbcefc,1,1,delivered,live,live,44.99658203125,1,1035,False,True
primary,dbe,control_bench_rodaje_a_p1_c11_20260804T022620Z,21c427dc-2336-58c3-bf85-2aa9d60178fc,0e0dc61f953d5c63,0,1,delivered,live,live,30.420654296875,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p1_c12_20260804T023106Z,1278483d-f00a-5652-bf12-5dd437b8c9e6,d0e6d747582d5e3c,0,1,delivered,live,live,40.5087890625,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p2_c01_20260804T023855Z,1623b155-9bd4-57f1-84e9-8fe10e8da05d,c381e7669d50ab33,0,1,delivered,live,live,30.04541015625,1,1033,True,True
primary,dbe,control_bench_rodaje_a_p2_c02_20260804T024957Z,90fb68ab-0175-5dcc-a338-7705cc235e39,c5fb98a6d5ce2600,0,1,delivered,live,live,43.208740234375,1,1035,True,True
primary,dbe,control_bench_rodaje_a_p2_c03_20260804T025253Z,40e18c62-d339-5b23-9ae0-ae4faef038cc,ef399b527245c123,0,1,delivered,live,live,32.874755859375,1,1035,True,True
primary,dbe,control_bench_rodaje_a_p2_c04_20260804T025608Z,671a54fa-fe95-5799-a3e1-26a6480b6994,29835d92637b1898,0,1,delivered,live,live,42.557861328125,1,1033,True,True
primary,dbe,control_bench_rodaje_a_p2_c05_20260804T025910Z,86648a3f-2153-5b02-944f-c4cea74ca2b6,42121e761006d690,0,1,delivered,live,live,30.469970703125,1,1033,True,True
primary,dbe,control_bench_rodaje_a_p2_c05_20260804T025910Z,0ebf79d3-cf84-5d2d-ba62-e2741ace4627,541de211b5ec5359,1,1,delivered,live,live,32.007080078125,1,1041,False,True
primary,dbe,control_bench_rodaje_a_p3_c01_20260804T030039Z,bb826614-66f3-572c-9e99-a9bcb91a85cd,036be8ef5cef59d2,0,1,delivered,live,live,43.18701171875,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p4_c01_20260804T030423Z,ce6846db-5dea-5f68-9cec-5fa8a9d5aafd,cbdd22b19a1ac484,0,1,delivered,live,live,38.683837890625,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p4_c02_20260804T030648Z,c0de6684-976c-5142-b8dd-27deac9e7851,221533447f0857ae,0,1,delivered,live,live,34.46875,1,1037,True,True
primary,dbe,control_bench_rodaje_a_p6_c01_20260804T031712Z,b36d25ed-ef81-5781-b794-ac042cc94172,33b8a1898c593258,0,1,delivered,live,live,42.68212890625,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p6_c01_20260804T031712Z,4f0ad1a4-b414-598f-bee8-78c3b53b7d1e,4173d952d3c29729,1,1,delivered,live,live,43.9912109375,1,1032,False,True
primary,dbe,control_bench_rodaje_a_p6_c02_20260804T032132Z,24a3244c-b6a6-5def-babb-9189c6f61f00,4e63f0b23a6d62d9,0,1,delivered,live,live,41.309326171875,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p6_c02_20260804T032132Z,b01c1b6a-32d4-5d9f-b388-23e4f363a6bb,ce3044ae3455b17d,1,1,delivered,live,live,42.761962890625,1,1035,False,True
primary,dbe,control_bench_rodaje_a_p7_c01_20260804T032419Z,cda084e3-4267-564a-aacd-adf897ca5c9a,d53ddfb7c3561b9d,0,1,delivered,live,live,40.7705078125,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p7_c02_20260804T032654Z,e59a3569-b3a7-5f2c-b7e1-92c08700748a,7f2ed761a9841683,0,1,delivered,live,live,33.242431640625,1,1037,True,True
primary,dbe,control_bench_rodaje_a_p7_c02_20260804T032654Z,ad38cb9a-2180-50cc-a710-201784dc1a04,f8a7836db184ed04,1,1,delivered,live,live,35.269287109375,1,1036,False,True
primary,dbe,control_bench_rodaje_a_p7_c03_20260804T032925Z,4afd727a-8c5e-566f-87fb-ef9c89967131,2b3e85b4ef37f954,0,1,delivered,live,live,39.8828125,1,1040,True,True
primary,dbe,control_bench_rodaje_a_p7_c03_20260804T032925Z,4f244641-47ad-56b1-97d6-e4ee16ff8b98,085139cf9c37ed2e,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_bench_rodaje_a_p7_c04_20260804T033156Z,8164a17f-69e5-5885-89a2-4bd51c28e536,b1b5bf1ae7e46854,0,1,delivered,live,live,29.03125,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p8_c01_20260804T033537Z,f0816b5c-3a46-58b8-9051-30086814f032,478fabbb0c7f123e,0,1,delivered,live,live,42.302978515625,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p8_c01_20260804T033537Z,5ab72760-322c-5782-82be-faa022b1c507,11817e8758b9e302,1,1,delivered,live,live,44.802734375,1,1034,False,True
primary,dbe,control_bench_rodaje_a_p9_c01_20260804T033742Z,2a65a687-6ebf-5e02-929e-146e9989e2fe,67402259f7f0d4a1,0,1,delivered,live,live,30.009765625,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p9_c02_20260804T033941Z,528222bb-8ddb-57c1-9a65-04a6edd16b8c,7f0620d0acda3f67,0,1,delivered,live,live,45.58837890625,1,1039,True,True
primary,dbe,control_bench_rodaje_a_p9_c02_20260804T033941Z,51b25a8d-5719-5977-a153-e81d6eff16e9,e95acf5ae3df3807,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_bench_rodaje_a_p9_c03_20260804T034130Z,9a4f7957-1930-50f3-ac99-531440edd36d,22522399402b902b,0,1,delivered,live,live,32.43017578125,1,1038,True,True
primary,dbe,control_bench_rodaje_a_p9_c06_20260804T034322Z,bb36a8d9-1ea7-5791-906f-4b5a37dbcb09,5b762b2343ed5df6,0,1,delivered,live,live,41.612060546875,1,1036,True,True
primary,dbe,control_bench_rodaje_a_p9_c08_20260804T034507Z,4751992c-ecca-503d-ab6f-bbc4a5ccfc40,0323d6c128418b4c,0,1,delivered,live,live,33.381103515625,1,1039,True,True
primary,dbe,control_d1_edir_a_p1_c02_20260804T060925Z,cdd5d335-a8ca-531a-a195-f1e454fb9e4a,4df4c22c40af8c43,0,1,delivered,live,live,41.033447265625,1,1024,True,True
primary,dbe,control_d1_edir_a_p1_c02_20260804T060925Z,3273b50d-4b8a-5469-a7d8-878ad88c40a7,3117bb1bef2171ab,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p1_c03_20260804T061100Z,6a7301db-19f9-5f4e-91c4-d1478372f184,71116a17eca6967c,0,1,delivered,live,live,30.7578125,1,1026,True,True
primary,dbe,control_d1_edir_a_p1_c04_20260804T152247Z,8d7c0f2f-f8b7-5493-9594-762dddba680c,aa4dddcc1e72a5cd,0,1,delivered,live,live,41.605712890625,1,1026,True,True
primary,dbe,control_d1_edir_a_p1_c05_20260804T152418Z,830325cb-0197-5e89-959f-1666333706bf,2d13311b928e6e14,0,1,delivered,live,live,30.385986328125,1,1025,True,True
primary,dbe,control_d1_edir_a_p1_c06_20260804T152558Z,660603d0-502c-5bf6-9800-dd9c6308800b,bf623630a389f60c,0,1,delivered,live,live,40.841064453125,1,1024,True,True
primary,dbe,control_d1_edir_a_p1_c07_20260804T152721Z,4b678827-ac18-5d06-8fb1-9f0628d9d2cd,cd55493f1db2f65d,0,1,delivered,live,live,32.776123046875,1,1024,True,True
primary,dbe,control_d1_edir_a_p1_c07_20260804T152721Z,0ba3ef35-c1a5-5d04-b6c4-1c1dfa386a29,ed3ba58b7440ea32,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p1_c08_20260804T152858Z,3560220c-7284-5cd1-b6ab-63332b343916,a22fbbd8bcb57604,0,1,delivered,live,live,43.530029296875,1,1026,True,True
primary,dbe,control_d1_edir_a_p1_c09_20260804T153036Z,8b73937f-05b2-5c8f-bc1b-ff9de6ca8928,8228e44a36ff86c5,0,1,delivered,live,live,33.0458984375,1,1022,True,True
primary,dbe,control_d1_edir_a_p1_c09_20260804T153036Z,03f8a2fb-43a7-5031-8715-2504518e59d5,80c83cf99a8505cc,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p1_c10_20260804T153231Z,6a1d9f5f-d41e-53aa-aeea-726d5483f39a,da70205473a49073,0,1,delivered,live,live,41.67822265625,1,1024,True,True
primary,dbe,control_d1_edir_a_p1_c10_20260804T153231Z,42282c6c-75dc-5b3e-b66a-11aefe444ea9,4a6be9803a7f24e2,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p1_c11_20260804T153420Z,b23c200b-a17f-5c50-a3a2-9627eb520865,a0225a0572d932b5,0,1,delivered,live,live,27.766357421875,1,1027,True,True
primary,dbe,control_d1_edir_a_p1_c11_20260804T153420Z,3d17bb2d-cbb6-5405-80cf-a40a4fe1e6c1,0c21b1433eabd2ba,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p1_c12_20260804T153604Z,2b81ce83-25ba-5074-b765-74549f50d8a5,c3353d5ade350dc0,0,1,delivered,live,live,36.559814453125,1,1026,True,True
primary,dbe,control_d1_edir_a_p1_c12_20260804T153604Z,efc84f9f-b908-5c00-b1e6-4e0a1585aabf,db5944429045dd6c,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p2_c01_20260804T153831Z,d7696c28-599e-5db3-b31f-fde40d5716f1,7c2b8e83152126b1,0,1,delivered,live,live,39.526611328125,1,1025,True,True
primary,dbe,control_d1_edir_a_p2_c01_20260804T153831Z,182da29c-9595-5408-9abc-b1dc01d91c24,70f999406f670e68,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p2_c02_20260804T154108Z,8c5895d1-2447-5443-a1a3-eaa566b2efc0,fcf819f6270a1e25,0,1,delivered,live,live,41.03173828125,1,1025,True,True
primary,dbe,control_d1_edir_a_p2_c02_20260804T154108Z,ad20b635-6caf-5f14-9dd8-d870611adf0d,ba7b02ec47794e3c,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p2_c04_20260804T154634Z,c3481f4a-3d55-57c7-af31-f33d47100e65,5246453b2e8468d8,0,1,delivered,live,live,40.04248046875,1,1026,True,True
primary,dbe,control_d1_edir_a_p2_c05_20260804T154914Z,1d7bada7-4acd-5593-8563-f2d87cfee2c7,be7ef15d843a18ac,0,1,delivered,live,live,39.2060546875,1,1027,True,True
primary,dbe,control_d1_edir_a_p2_c05_20260804T154914Z,800d8c5e-a954-59d6-874c-ae60c40c7de5,6e118550f8a4cbc8,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p2_c05_20260804T154914Z,419ccf59-3e72-559e-8cc1-6b4e2c2aaa12,791c397a0c5b91f8,2,1,delivered,live,live,40.64013671875,1,1025,False,True
primary,dbe,control_d1_edir_a_p3_c01_20260804T155029Z,3ab38fcb-f356-5583-8ef0-17c060fe66eb,6bdd50974e9579a9,0,1,delivered,live,live,42.105712890625,1,1027,True,True
primary,dbe,control_d1_edir_a_p3_c02_20260804T155144Z,a71f3086-cadf-54ad-88f4-76c8074ae152,848ff1a989d61b45,0,1,delivered,live,live,39.70849609375,1,1025,True,True
primary,dbe,control_d1_edir_a_p3_c02_20260804T155144Z,a116d0c8-571a-5e11-87ad-6cca01b1a1c2,47cfdd77f380cc94,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p4_c01_20260804T155343Z,ae0a103b-716b-5c0b-818a-51a862a96cef,6e1afdcb568dc0a5,0,1,delivered,live,live,41.20703125,1,1026,True,True
primary,dbe,control_d1_edir_a_p4_c02_20260804T155549Z,32740cd7-c40f-509d-8fe8-9ccab2edb955,cce8aa81b7f6b5ba,0,1,delivered,live,live,39.395263671875,1,1028,True,True
primary,dbe,control_d1_edir_a_p6_c01_20260804T160450Z,025676e2-0e28-5b58-ace1-0a8a42badf00,939e7419c339658b,0,1,delivered,live,live,42.0048828125,1,1025,True,True
primary,dbe,control_d1_edir_a_p6_c01_20260804T160450Z,295341c3-9f44-5bdf-82d0-ae40741f4ea3,c2f3b0cfbabd5e73,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p6_c02_20260804T160835Z,a61d8922-6a8e-5055-926f-d09822b4c31c,890f7272f5c24902,0,1,delivered,live,live,38.6572265625,1,1022,True,True
primary,dbe,control_d1_edir_a_p6_c02_20260804T160835Z,fb4ce0b9-8b59-5378-8dfb-bda22a40f1b5,3da454b4700c4e20,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p6_c02_20260804T160835Z,2962c01f-78de-5bd3-9e47-3ae30ff3e849,f5a363a1c7dc1383,2,1,delivered,live,live,40.89453125,1,1025,False,True
primary,dbe,control_d1_edir_a_p6_c02_20260804T160835Z,74b3f48f-a933-5816-9980-d7585f11115b,327702647c68ddce,3,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p7_c02_20260804T161313Z,6c04c38d-4607-59e8-8e13-38030f77a7ec,1c983957abe0da69,0,1,delivered,live,live,40.021728515625,1,1027,True,True
primary,dbe,control_d1_edir_a_p8_c01_20260804T162044Z,6a17d844-b526-5879-9169-24e1e87e300d,c1c0e71aa3163088,0,1,delivered,live,live,28.739013671875,1,1027,True,True
primary,dbe,control_d1_edir_a_p8_c01_20260804T162044Z,f23e69f4-1728-5fe8-b19c-84323029a37a,0663177973743c7a,1,1,delivered,live,live,31.0263671875,1,1026,False,True
primary,dbe,control_d1_edir_a_p9_c01_20260804T162231Z,07935d36-1694-5cf1-97c4-840ed3d823f7,b9e005181728989c,0,1,delivered,live,live,40.089599609375,1,1025,True,True
primary,dbe,control_d1_edir_a_p9_c02_20260804T162414Z,93dad021-dfca-5179-b8d7-4d9cabb8e4e5,a81d6d89fc37e71b,0,1,delivered,live,live,33.5244140625,1,1025,True,True
primary,dbe,control_d1_edir_a_p9_c03_20260804T162549Z,16aae76e-00f7-54de-aee9-ec5e00a9ba8a,57b05624d8562c1e,0,1,delivered,live,live,41.820068359375,1,1026,True,True
primary,dbe,control_d1_edir_a_p9_c03_20260804T162549Z,5b1c0c3e-7b08-508a-a128-07b316df6697,faf5044fd943aed7,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p9_c06_20260804T162728Z,730f9697-2234-5030-b324-69562291f5ed,2cc2fadfe0c4533d,0,1,delivered,live,live,29.818115234375,1,1025,True,True
primary,dbe,control_d1_edir_a_p9_c06_20260804T162728Z,1550a72f-7516-5321-8a64-62255e74fd81,ab8095102834654f,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_d1_edir_a_p9_c08_20260804T162905Z,17974414-ed99-58fd-8afb-26f397f718a3,4f4c257ac9575f66,0,1,delivered,live,live,40.677978515625,1,1027,True,True
primary,dbe,control_g1_subject_a_p1_c02_20260804T190710Z,bbc4c9d8-eac5-5845-9f3c-74060d6029f0,c0ab0a5531947147,0,1,delivered,live,live,29.59912109375,1,1069,True,True
primary,dbe,control_g1_subject_a_p1_c02_20260804T190710Z,7e22398e-8364-54a8-97db-86680cfcfb57,8cdd7484decf2063,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_g1_subject_a_p1_c03_20260804T190710Z,3674eb4e-fff2-50c7-9caa-113b4f34ad25,b10fc93fb2ef243b,0,1,delivered,live,live,65.15087890625,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c04_20260804T190711Z,8beed5cd-7f6b-5f2e-8a5a-8fa1ecb083df,717328c38a68421b,0,1,delivered,live,live,31.584228515625,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c05_20260804T190712Z,bf00dc4b-bc50-5396-9944-7630dfe21f20,28fd8c06b35dc12a,0,1,delivered,live,live,41.392578125,1,1070,True,True
primary,dbe,control_g1_subject_a_p1_c06_20260804T190712Z,2ced3c27-65d6-5477-a635-08cc5b243c71,7a2fbbcd9c4e1250,0,1,delivered,live,live,29.4716796875,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c06_20260804T190712Z,07e114d3-fa2b-5186-a0d9-92c1a79fc336,51e97f0e0a53fd4c,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_g1_subject_a_p1_c07_20260804T190713Z,0ef9b286-9218-51b8-9bb9-09366abc6c07,9b40a74160b77fa8,0,1,delivered,live,live,40.104248046875,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c08_20260804T190714Z,8f142587-792b-5dc3-bb55-54c6ab7fdc7f,5fd9c7de9b15ca9f,0,1,delivered,live,live,31.5,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c08_20260804T190714Z,fe35f471-1323-5e33-bb24-3a9e56820856,420620308893e1e7,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_g1_subject_a_p1_c09_20260804T190714Z,d373bf19-2743-5500-93d4-6d5603eebc71,d649423c447c5a75,0,1,delivered,live,live,45.4951171875,1,1072,True,True
primary,dbe,control_g1_subject_a_p1_c10_20260804T190715Z,bdc4b0d3-4c9a-5c00-9742-307217b4786f,1057d78c9a43c9b7,0,1,delivered,live,live,36.23291015625,1,1071,True,True
primary,dbe,control_g1_subject_a_p1_c11_20260804T190716Z,6720a6ed-38ff-594a-8aa8-ffe465213b8b,72034c515f29b5ba,0,1,delivered,live,live,39.8623046875,1,1073,True,True
primary,dbe,control_g1_subject_a_p1_c12_20260804T190717Z,71f52e47-700a-51e8-b8f3-7d92dda88402,d8c270d669245340,0,1,delivered,live,live,29.572509765625,1,1071,True,True
